"id","category","de","en","context","limit","status","note"
"ability.SK_FIRE_01.desc","ability","Siege erzeugen +50 % Hitze (Hitzegewinn ×1,5).","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_01.name","ability","Glut","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_02.desc","ability","Jeder Sieg gibt +2 % Hitze — auch knappe Siege zünden.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_02.name","ability","Zunder","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_03.desc","ability","Jeder Sieg in Folge gibt +1 % mehr Hitze (bis +5 %); eine Niederlage setzt zurück.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_03.name","ability","Feuersturm","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_04.desc","ability","Niederlagen kosten nur die halbe Hitze; unter 30 % Hitze gar keine.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_04.name","ability","Glutbett","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_05.desc","ability","Nach einer Niederlage gibt der nächste Sieg +1 % Hitze je Wert-Rückstand und die Karte +2 Stichwert.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_05.name","ability","Rückzündung","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_06.desc","ability","Alle deine Karten +Stichwert je nach Hitze: +1 ab 40 %, +2 ab 70 %, +3 bei 100 %.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_06.name","ability","Glühende Klinge","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_07.desc","ability","Bei voller Hitze wird jeder Überschuss zu Score: +10 pro überlaufendem Hitzepunkt.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_07.name","ability","Weißglut","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_08.desc","ability","Ab 40 % Hitze gibt jeder Sieg der nächsten Karte +1 Stichwert, steigend bis +3; eine Niederlage setzt zurück.","","Skill-Beschreibung (Feuer) — Skill-Auswahl/Detailkarte","","new",""
"ability.SK_FIRE_08.name","ability","Feuerwalze","","Skill-Name (Feuer) — Skill-Auswahl/Detailkarte","","new",""
