"id","category","de","en","context","limit","status","note"
"building.A_BASILIKA.legendary.eff","building","Formations-Joker (Wiederholung/Farbblock/Treppe/Wechsel)","formation wild (Repeat/Suit block/Stair/Zigzag)","Architekt-Gebäude „Basilika"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_BOLLWERK.legendary.eff","building","alle Abgedeckten +6 Stichwert","all covered cards +6 trick value","Architekt-Gebäude „Bollwerk"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier1.eff","building","passende Farbe +3 Stichwert","matching suit +3 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier2.eff","building","passende Farbe +5 Stichwert","matching suit +5 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier3.eff","building","passende Farbe +7 Stichwert","matching suit +7 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier4.eff","building","passende Farbe +9 Stichwert","matching suit +9 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier1.eff","building","höchste Karte +3 Stichwert","highest card +3 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier2.eff","building","höchste Karte +5 Stichwert","highest card +5 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier3.eff","building","höchste Karte +7 Stichwert","highest card +7 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier4.eff","building","höchste Karte +9 Stichwert","highest card +9 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_FRIES.tier1.eff","building","Formations-Joker (Wiederholung)","formation wild (Repeat)","Architekt-Gebäude „Fries"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_FUNDAMENT.legendary.eff","building","alle Abgedeckten +5 Stichwert","all covered cards +5 trick value","Architekt-Gebäude „Fundamentplatte"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GEWOELBE.tier1.eff","building","Formations-Joker (Wiederholung/Treppe)","formation wild (Repeat/Stair)","Architekt-Gebäude „Gewölbe"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier1.eff","building","höchste Karte +160 Score","highest card +160 score","Architekt-Gebäude „Giebel"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier2.eff","building","höchste Karte +240 Score","highest card +240 score","Architekt-Gebäude „Giebel"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier3.eff","building","höchste Karte +352 Score","highest card +352 score","Architekt-Gebäude „Giebel"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier4.eff","building","höchste Karte +496 Score","highest card +496 score","Architekt-Gebäude „Giebel"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier1.eff","building","jede Zelle zählt als Anker (×1,10) (Stufe III: +2 Stichwert je Ankerzelle)","every cell counts as an anchor (×1.10) (tier III: +2 trick value per anchor cell)","Architekt-Gebäude „Grundstein"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier2.eff","building","jede Zelle zählt als Anker (×1,23) (Stufe III: +2 Stichwert je Ankerzelle)","every cell counts as an anchor (×1.23) (tier III: +2 trick value per anchor cell)","Architekt-Gebäude „Grundstein"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier3.eff","building","jede Zelle zählt als Anker (×1,36) · +2 Stichwert je Ankerzelle","every cell counts as an anchor (×1.36) · +2 trick value per anchor cell","Architekt-Gebäude „Grundstein"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier4.eff","building","jede Zelle zählt als Anker (×1,49) · +2 Stichwert je Ankerzelle","every cell counts as an anchor (×1.49) · +2 trick value per anchor cell","Architekt-Gebäude „Grundstein"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KATHEDRALE.legendary.eff","building","Formationen hier ×1,40","formations here ×1.40","Architekt-Gebäude „Kathedrale"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KLAMMER.tier1.eff","building","Formations-Joker (Farbblock) (Stufe III: zweiter Joker-Typ: Wiederholung)","formation wild (Suit block) (tier III: second wild type: Repeat)","Architekt-Gebäude „Klammer"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KLAMMER.tier3.eff","building","Formations-Joker (Farbblock/Wiederholung)","formation wild (Suit block/Repeat)","Architekt-Gebäude „Klammer"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
