lot	source	id	label	master	delivery	method
lightning	Blitz/Blitzableiter_.png	SK_LIGHTNING_01	Blitzableiter	docs/art/skills/lightning/SK_LIGHTNING_01_blitzableiter.webp	src/assets/skills/lightning/SK_LIGHTNING_01_blitzableiter.webp	name-exact
lightning	Blitz/donnergott_.png	SK_LIGHTNING_L01	Donnergott	docs/art/skills/lightning/SK_LIGHTNING_L01_donnergott.webp	src/assets/skills/lightning/SK_LIGHTNING_L01_donnergott.webp	name-exact
fire	Fire/ascheschmiede.png	SK_FIRE_15	Ascheschmiede	docs/art/skills/fire/SK_FIRE_15_ascheschmiede.webp	src/assets/skills/fire/SK_FIRE_15_ascheschmiede.webp	name-exact
fire	Fire/brandmal.png	SK_FIRE_13	Brandmal	docs/art/skills/fire/SK_FIRE_13_brandmal.webp	src/assets/skills/fire/SK_FIRE_13_brandmal.webp	name-exact
fire	Fire/damaststahl.png	SK_FIRE_L04	Damaststahl	docs/art/skills/fire/SK_FIRE_L04_damaststahl.webp	src/assets/skills/fire/SK_FIRE_L04_damaststahl.webp	name-exact
fire	Fire/feuersturm.png	SK_FIRE_03	Feuersturm	docs/art/skills/fire/SK_FIRE_03_feuersturm.webp	src/assets/skills/fire/SK_FIRE_03_feuersturm.webp	name-exact
fire	Fire/feuerwalze.png	SK_FIRE_08	Feuerwalze	docs/art/skills/fire/SK_FIRE_08_feuerwalze.webp	src/assets/skills/fire/SK_FIRE_08_feuerwalze.webp	name-exact
fire	Fire/flaechenbrand.png	SK_FIRE_11	Flächenbrand	docs/art/skills/fire/SK_FIRE_11_flaechenbrand.webp	src/assets/skills/fire/SK_FIRE_11_flaechenbrand.webp	name-exact
fire	Fire/funkenflug.png	SK_FIRE_10	Funkenflug	docs/art/skills/fire/SK_FIRE_10_funkenflug.webp	src/assets/skills/fire/SK_FIRE_10_funkenflug.webp	name-exact
fire	Fire/gluehende klinge.png	SK_FIRE_06	Glühende Klinge	docs/art/skills/fire/SK_FIRE_06_gluehende-klinge.webp	src/assets/skills/fire/SK_FIRE_06_gluehende-klinge.webp	name-exact
fire	Fire/glut.png	SK_FIRE_01	Glut	docs/art/skills/fire/SK_FIRE_01_glut.webp	src/assets/skills/fire/SK_FIRE_01_glut.webp	name-exact
fire	Fire/glutbett.png	SK_FIRE_04	Glutbett	docs/art/skills/fire/SK_FIRE_04_glutbett.webp	src/assets/skills/fire/SK_FIRE_04_glutbett.webp	name-exact
